"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "Batch", "TypeScript JSX", "CSS", "YAML", "comment", "blank", "total"
"/home/somecoder/Documents/web/web project/student-teacher/client/.github/workflows/playwright.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"/home/somecoder/Documents/web/web project/student-teacher/client/README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/home/somecoder/Documents/web/web project/student-teacher/client/next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/home/somecoder/Documents/web/web project/student-teacher/client/package-lock.json", "JSON", 0, 0, 0, 1979, 0, 0, 0, 0, 0, 0, 1, 1980
"/home/somecoder/Documents/web/web project/student-teacher/client/package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"/home/somecoder/Documents/web/web project/student-teacher/client/playwright.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 44, 10, 80
"/home/somecoder/Documents/web/web project/student-teacher/client/public/workers/worker.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"/home/somecoder/Documents/web/web project/student-teacher/client/run-curl.bat", "Batch", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/CheckPaper/route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 67
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/Create/route.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 67
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/DeletebyId/route.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 30, 11, 84
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/GetActivitybyId/route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/Getallactivities/route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 34
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/Getallsamplepapers/route.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/Sample_papers/GetbyIdsamplepaper/route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
